mission_id,keywords,mission_name,seriesName,shortDescription,astronaut_id,launch_time,land_time,launch_date,land_date,astroNumber,astronaut_name,gender,inSpace,overallNumber,spacewalkCount,species,speciesGroup,totalMinutesInSpace,totalSecondsSpacewalking,image.asset.url,awards,num_awards,country,launch_year,bio_cleaned,full_names
00d2e869-4c3d-4be3-b2e9-c3a935768abb,"SpaceX, Crewed",SpaceX Crew-2,SpaceX,Crew-2 is SpaceX's second operational flight of its Crew Dragon human spacecraft and the first reuse of a Crew Dragon capsule. This is the first flight of a European astronaut on Crew Dragon and the first time since 1965 that two US crew missions will be in space at the same time as the Crew-1 flight is still docked to the Space Station. Megan McArthur became only the fourth woman to pilot a US human space mission on this flight.,NSZm43AoLYq0PEOXpgALIz,09:49:00,03:33:00,2021-04-23,2021-11-09,498,Robert S. Kimbrough,male,False,746.0,9.0,Human,human,559768.0,213960.0,https://cdn.sanity.io/images/2vtv415l/production/b9c92714207ccf80a27c1bacdbec3eefc56c3319-1024x1280.jpg,"['ISS Visitor', 'Crossed Kármán Line', 'Elite Spacewalker', 'Space Resident', 'Frequent Walker', 'Elite Spaceflyer']",6.0,United States of America,2021,"Robert Shane Kimbrough is a retired United States Army officer, and a NASA astronaut. He was part of the first group of candidates selected for NASA astronaut training following the Space Shuttle Columbia disaster. Kimbrough is a veteran of two spaceflights, the first being a Space Shuttle flight, and the second being a 6-month mission to the ISS on board a Russian Soyuz craft.",Robert S. Kimbrough
00d2e869-4c3d-4be3-b2e9-c3a935768abb,"SpaceX, Crewed",SpaceX Crew-2,SpaceX,Crew-2 is SpaceX's second operational flight of its Crew Dragon human spacecraft and the first reuse of a Crew Dragon capsule. This is the first flight of a European astronaut on Crew Dragon and the first time since 1965 that two US crew missions will be in space at the same time as the Crew-1 flight is still docked to the Space Station. Megan McArthur became only the fourth woman to pilot a US human space mission on this flight.,NSZm43AoLYq0PEOXpg9vYz,09:49:00,03:33:00,2021-04-23,2021-11-09,505,K. Megan McArthur,female,False,756.0,0.0,Human,human,306200.0,0.0,https://cdn.sanity.io/images/2vtv415l/production/e21ff25460b4403d29a42130f10c08c529fd3c5d-2400x3000.jpg,"['Crossed Kármán Line', 'ISS Visitor', 'Space Resident']",3.0,United States of America,2021,"Katherine Megan McArthur is an American oceanographer and a National Aeronautics and Space Administration astronaut. She has served as a Capsule Communicator for both the space shuttle and space station. Megan McArthur has flown one space shuttle mission, STS-125. She is known as the last person to be hands on with the Hubble Space Telescope. McArthur has served in a number of positions including working in the Shuttle Avionics Laboratory. She is married to fellow astronaut Robert L. Behnken.",K. Megan McArthur
00d2e869-4c3d-4be3-b2e9-c3a935768abb,"SpaceX, Crewed",SpaceX Crew-2,SpaceX,Crew-2 is SpaceX's second operational flight of its Crew Dragon human spacecraft and the first reuse of a Crew Dragon capsule. This is the first flight of a European astronaut on Crew Dragon and the first time since 1965 that two US crew missions will be in space at the same time as the Crew-1 flight is still docked to the Space Station. Megan McArthur became only the fourth woman to pilot a US human space mission on this flight.,NSZm43AoLYq0PEOXpg8I7U,09:49:00,03:33:00,2021-04-23,2021-11-09,490,Akihiko Hoshide,male,False,738.0,4.0,Human,human,490270.0,101539.0,https://cdn.sanity.io/images/2vtv415l/production/ec962b99f6cfe6f1ea5fc31bb6738d4f22205a05-2400x3000.jpg,"['ISS Visitor', 'Crossed Kármán Line', 'Space Resident']",3.0,Japan,2021,"Akihiko Hoshide is a Japanese engineer and JAXA astronaut. On August 30, 2012, Hoshide became the third Japanese astronaut to walk in space.",Akihiko Hoshide
00d2e869-4c3d-4be3-b2e9-c3a935768abb,"SpaceX, Crewed",SpaceX Crew-2,SpaceX,Crew-2 is SpaceX's second operational flight of its Crew Dragon human spacecraft and the first reuse of a Crew Dragon capsule. This is the first flight of a European astronaut on Crew Dragon and the first time since 1965 that two US crew missions will be in space at the same time as the Crew-1 flight is still docked to the Space Station. Megan McArthur became only the fourth woman to pilot a US human space mission on this flight.,gJ17JRX4XCdSoJR41wgocw,09:49:00,03:33:00,2021-04-23,2021-11-09,561,Thomas Pesquet,male,False,873.0,6.0,Human,human,570934.0,143299.0,https://cdn.sanity.io/images/2vtv415l/production/691591e81f8af47df9604db103655b8c91a85925-3200x4000.jpg,"['ISS Visitor', 'Crossed Kármán Line', 'Space Resident', 'Elite Spacewalker', 'Elite Spaceflyer']",5.0,France,2021,"Thomas Gautier Pesquet is a French aerospace engineer, pilot, and European Space Agency astronaut. Pesquet was selected by ESA as a candidate in May 2009, and he successfully completed his basic training in November 2010. From November 2016 to June 2017, Pesquet was part of Expedition 50 and Expedition 51 as a flight engineer. Pesquet will return to space in late 2021 on board a US Commercial Crew Vehicle for a second six-month stay on the ISS.",Thomas Pesquet
00ebb32a-4161-4c35-9f11-b9e207468152,,NS-18,New Shepard,"Blue Origin's second crewed, suborbital mission including Star Trek legend, William Shatner.",9841beb3-1e03-4a7a-9b20-7232c22c7900,14:49:53,14:59:01,2021-10-13,2021-10-13,597,William Shatner,male,False,927.0,0.0,Human,human,10.0,0.0,https://cdn.sanity.io/images/2vtv415l/production/df54d3e9503004f6b151c2bd0f1835aa2b98a4fc-4000x6000.jpg,['Crossed Kármán Line'],1.0,Canada,2021,"William Shatner OC is a Canadian actor, author, producer, director, screenwriter, and singer. In his seven decades of acting, he became a cultural icon for his portrayal of Captain James T. Kirk of the USS Enterprise in the Star Trek franchise.",William Shatner
00ebb32a-4161-4c35-9f11-b9e207468152,,NS-18,New Shepard,"Blue Origin's second crewed, suborbital mission including Star Trek legend, William Shatner.",75c3f002-de77-42f7-adbd-0facb771ef62,14:49:53,14:59:01,2021-10-13,2021-10-13,598,Dr. Chris Boshuizen,male,False,928.0,0.0,Human,human,10.0,0.0,https://cdn.sanity.io/images/2vtv415l/production/e6cf63b7177afd33cbb4235346213470fa249a95-1067x1600.jpg,['Crossed Kármán Line'],1.0,Australia,2021,,
00ebb32a-4161-4c35-9f11-b9e207468152,,NS-18,New Shepard,"Blue Origin's second crewed, suborbital mission including Star Trek legend, William Shatner.",6a14f033-53f8-4a62-a846-288260e2955f,14:49:53,14:59:01,2021-10-13,2021-10-13,599,Glen de Vries,male,False,929.0,0.0,Human,human,10.0,0.0,https://cdn.sanity.io/images/2vtv415l/production/18e2ebe2f994f1234932f18462711b4ae57b71d6-2025x3000.jpg,['Crossed Kármán Line'],1.0,United States of America,2021,"Glen de Vries co-founded Medidata Solutions in 1999, a software company widely used in clinical trials. He is now vice-chair of life science and health care at Dassault Systmes. De Vries is also a trustee of Carnegie Mellon University, an author, and a private pilot.",Glen de Vries
00ebb32a-4161-4c35-9f11-b9e207468152,,NS-18,New Shepard,"Blue Origin's second crewed, suborbital mission including Star Trek legend, William Shatner.",3fba133c-41ef-4ec9-a5e5-e831136c2009,14:49:53,14:59:01,2021-10-13,2021-10-13,600,Audrey Powers,female,False,930.0,0.0,Human,human,10.0,0.0,https://cdn.sanity.io/images/2vtv415l/production/6ec0ea5e3f6636f0e332e1ef08c0bfaf0e68078c-1067x1600.jpg,['Crossed Kármán Line'],1.0,United States of America,2021,"Before becoming a lawyer, Powers worked as an engineer for almost a decade. As a guidance and controls engineer, she was a flight controller for NASA with 2,000 hours of console time in Mission Control for the International Space Station Program. Audrey then joined Blue Origin in 2013 and oversaw all New Shepard flight operations, vehicle maintenance, and launch, landing, and ground support infrastructure.",Audrey Powers
012cd516-1163-4a3d-986d-dabd52c1d70b,"SpaceX, Crewed",Inspiration4,SpaceX,"Inspiration4 is the world’s first all-civilian mission to orbit. The mission will be commanded by Jared Isaacman, the 38-year-old founder and Chief Executive Officer of Shift4 Payments and an accomplished pilot and adventurer. Named in recognition of the four-person crew that will raise awareness and funds for St. Jude Children’s Research Hospital, this milestone represents a new era for human spaceflight and exploration.",ca192a9a-33bf-4c40-a25e-21d39341d543,00:02:00,23:06:00,2021-09-15,2021-09-18,591,Jared Isaacman,male,False,921.0,0.0,Human,human,4264.0,0.0,https://cdn.sanity.io/images/2vtv415l/production/09d7789af3b7a89b9b4fb0960b04cab6052b7ce6-2048x1365.jpg,['Crossed Kármán Line'],1.0,United States of America,2021,"Jared Isaacman is an American billionaire businessman and pilot. He is the founder and CEO of Shift4 Payments, a payment processor.",Jared Isaacman
012cd516-1163-4a3d-986d-dabd52c1d70b,"SpaceX, Crewed",Inspiration4,SpaceX,"Inspiration4 is the world’s first all-civilian mission to orbit. The mission will be commanded by Jared Isaacman, the 38-year-old founder and Chief Executive Officer of Shift4 Payments and an accomplished pilot and adventurer. Named in recognition of the four-person crew that will raise awareness and funds for St. Jude Children’s Research Hospital, this milestone represents a new era for human spaceflight and exploration.",fbd80f13-6236-4455-8576-4d99ac819a02,00:02:00,23:06:00,2021-09-15,2021-09-18,592,Dr. Sian Proctor,female,False,922.0,0.0,Human,human,4264.0,0.0,https://cdn.sanity.io/images/2vtv415l/production/042806ae73da2d4ff675fd94f161d9df7656fe45-2048x1365.jpg,['Crossed Kármán Line'],1.0,United States of America,2021,"Sian Proctor is an American geology professor, science communicator, and commercial astronaut.",Dr. Sian Proctor
012cd516-1163-4a3d-986d-dabd52c1d70b,"SpaceX, Crewed",Inspiration4,SpaceX,"Inspiration4 is the world’s first all-civilian mission to orbit. The mission will be commanded by Jared Isaacman, the 38-year-old founder and Chief Executive Officer of Shift4 Payments and an accomplished pilot and adventurer. Named in recognition of the four-person crew that will raise awareness and funds for St. Jude Children’s Research Hospital, this milestone represents a new era for human spaceflight and exploration.",51425611-0963-4606-ab58-342d2d1d429f,00:02:00,23:06:00,2021-09-15,2021-09-18,593,Hayley Arceneaux,female,False,923.0,0.0,Human,human,4264.0,0.0,https://cdn.sanity.io/images/2vtv415l/production/c32b72b573bd63cdbfc9ad160a8ef183f0806693-2048x1365.jpg,['Crossed Kármán Line'],1.0,United States of America,2021,"Hayley Arceneaux is a St. Jude Children's Research Hospital employee, bone cancer survivor and private astronaut who is now a physician assistant; she joined billionaire Jared Isaacman on SpaceX's first private spaceflight Inspiration4.",Hayley Arceneaux
012cd516-1163-4a3d-986d-dabd52c1d70b,"SpaceX, Crewed",Inspiration4,SpaceX,"Inspiration4 is the world’s first all-civilian mission to orbit. The mission will be commanded by Jared Isaacman, the 38-year-old founder and Chief Executive Officer of Shift4 Payments and an accomplished pilot and adventurer. Named in recognition of the four-person crew that will raise awareness and funds for St. Jude Children’s Research Hospital, this milestone represents a new era for human spaceflight and exploration.",26d2bfa3-1c3a-41e2-ae4e-49f79765c512,00:02:00,23:06:00,2021-09-15,2021-09-18,594,Christopher Sembroski,male,False,924.0,0.0,Human,human,4264.0,0.0,https://cdn.sanity.io/images/2vtv415l/production/c4f5894683d663c13ed0d93f8ecad84dfa03c2aa-2048x1365.jpg,['Crossed Kármán Line'],1.0,United States of America,2021,"Christopher Sembroski is an American data engineer, Air Force veteran, and commercial astronaut. He is a Lockheed Martin employee and private astronaut for the Inspiration4 mission.",Christopher Sembroski
0e30a039-1228-4ad4-a233-c9f2a09d3ce8,,X-15 Flight 150,,,b9c73446-7af2-49b8-9712-9f12dc3c1cf0,04:00:00,04:10:30,1965-09-28,2020-10-22,26,John B. McKay,male,False,99.0,0.0,Human,human,,0.0,https://cdn.sanity.io/images/2vtv415l/production/9ebbc1a4a5d6ab56c985c6eee5c808738432216b-862x1075.jpg,['Crossed 80km Line'],1.0,United States of America,1965,"John Barron McKay was an American naval officer, World War II pilot, aeronautical engineer, test pilot, and astronaut. He was one of twelve pilots who flew the North American X-15, an experimental spaceplane jointly operated by the United States Air Force and NASA. On September 28, 1965, he flew the X-15 to an altitude above 50 miles, thereby qualifying as an astronaut according to the United States definition of the boundary of space. However, this altitude did not surpass the Karman line, the internationally accepted boundary of 100 kilometers (62 miles).",John B. McKay
1104a4e3-efb3-4fe0-a497-f632bd834551,,X-15 Flight 191,,,ad10ae26-d6d1-48bf-97fd-bd1b5f1dd39e,23:30:00,23:40:00,1967-11-15,1967-11-15,38,Michael J. Adams,male,False,117.0,0.0,Human,human,,0.0,https://cdn.sanity.io/images/2vtv415l/production/2ac5f2809b9beb5f31dda43bc076961c3083b9d1-2600x2048.jpg,"['Crossed 80km Line', 'Memorial']",2.0,United States of America,1967,"Michael James Adams was an American aviator, aeronautical engineer, and USAF astronaut. He was one of twelve pilots who flew the North American X-15, an experimental spaceplane jointly operated by the Air Force and NASA.",Michael J. Adams
15b8d278-3b74-4e74-a86e-4d35c8dd0386,,Shenzhou 12,Shenzhou,"The mission was China’s first crew launch since 2016 and lasted three months. At the Chinese Space Station, the three taikonauts activated systems, performed experiments, and prepared for the upcoming addition of two new science modules to the laboratory.",gJ17JRX4XCdSoJR41wgm4w,01:22:34,05:34:00,2021-06-16,2021-09-17,451,Nie Haisheng,male,False,683.0,1.0,Human,human,160693.0,21300.0,https://cdn.sanity.io/images/2vtv415l/production/daeeab721f3318cdd7f1171efdf967cc539f9405-600x763.jpg,"['Crossed Kármán Line', 'Space Resident']",2.0,China,2021,Nie Haisheng is a Chinese military pilot and CNSA astronaut.,Nie Haisheng
15b8d278-3b74-4e74-a86e-4d35c8dd0386,,Shenzhou 12,Shenzhou,"The mission was China’s first crew launch since 2016 and lasted three months. At the Chinese Space Station, the three taikonauts activated systems, performed experiments, and prepared for the upcoming addition of two new science modules to the laboratory.",NSZm43AoLYq0PEOXpg817z,01:22:34,05:34:00,2021-06-16,2021-09-17,493,Liu Boming,male,False,741.0,3.0,Human,human,136839.0,46980.0,https://cdn.sanity.io/images/2vtv415l/production/7a5842196767371ff377627c85e90a54b2543fe7-327x400.jpg,"['Crossed Kármán Line', 'Space Resident']",2.0,China,2021,"Liu Boming is a Chinese pilot selected as part of the Shenzhou program. A fighter pilot in the People's Liberation Army Air Force, he was selected to be an CNSA member in 1998.",Liu Boming
15b8d278-3b74-4e74-a86e-4d35c8dd0386,,Shenzhou 12,Shenzhou,"The mission was China’s first crew launch since 2016 and lasted three months. At the Chinese Space Station, the three taikonauts activated systems, performed experiments, and prepared for the upcoming addition of two new science modules to the laboratory.",7fadec1b-33c8-43ff-a40d-9ed63d619f04,01:22:34,05:34:00,2021-06-16,2021-09-17,583,Tang Hongbo,male,False,913.0,1.0,Human,human,132731.0,24360.0,https://cdn.sanity.io/images/2vtv415l/production/1fbed003afe8762313d930fc2f81739b8fcc2948-512x512.jpg,['Space Resident'],1.0,China,2021,Tang Hongbo is a Chinese pilot selected as part of the Shenzhou program.,Tang Hongbo
1aa86fd7-e120-4e65-b8f8-1fc4f31572e3,,NS-16,New Shepard,"Blue Origin's first crewed, suborbital mission.",2a27517e-c4c4-45f9-9b83-6d4a2ae8d846,13:10:15,13:20:00,2021-07-20,2021-07-20,587,Wally Funk,female,False,917.0,0.0,Human,human,10.0,0.0,https://cdn.sanity.io/images/2vtv415l/production/ceac30a7c15974d2c7580b3d3416c4786cfc596d-3677x4595.jpg,"['This astronaut crossed the Kármán Line (100 km), the internationally accepted boundary of space.']",1.0,United States of America,2021,"Funk was the first female FAA inspector and first female NTSB air safety investigator. She was the youngest graduate of the Woman in Space Program, a 1960s NASA initiative to test women as astronauts. She was the youngest graduate of the program and will now become the oldest person to fly to space.",Wally Funk
1aa86fd7-e120-4e65-b8f8-1fc4f31572e3,,NS-16,New Shepard,"Blue Origin's first crewed, suborbital mission.",fe3450fa-377d-4f7b-9b58-63f47007c192,13:10:15,13:20:00,2021-07-20,2021-07-20,588,Jeff Bezos,male,False,918.0,0.0,Human,human,10.0,0.0,https://cdn.sanity.io/images/2vtv415l/production/6b7c284192add0c7d0bafd8a88262db2c82c679b-1623x2034.jpg,"['This astronaut crossed the Kármán Line (100 km), the internationally accepted boundary of space.']",1.0,United States of America,2021,Bezos is the founder of Blue Origin and founder and executive chairman of Amazon.,Jeff Bezos
