mission_name,launch_year,astronaut_name
Altas V 541 (AV-028),2011,[nan]
Apollo 10,1969,"['Thomas P. Stafford', 'John W. Young', 'Eugene A. Cernan']"
Apollo 11,1969,"['Neil A. Armstrong', 'Michael Collins', 'Buzz Aldrin']"
Apollo 12,1969,"['Charles Conrad Jr.', 'Richard F. Gordon Jr.', 'Alan L. Bean']"
Apollo 13,1970,"['James A. Lovell Jr.', 'John L. Swigert Jr.', 'Fred W. Haise Jr.']"
Apollo 14,1971,"['Edgar D. Mitchell', 'Alan B. Shepard Jr.', 'Stuart A. Roosa']"
Apollo 15,1971,"['David R. Scott', 'Alfred M. Worden', 'James B. Irwin']"
Apollo 16,1972,"['John W. Young', 'Thomas K. Mattingly II', 'Charles M. Duke Jr.']"
Apollo 17,1972,"['Eugene A. Cernan', 'Ronald E. Evans Jr.', 'Harrison H. Schmitt']"
Apollo 7,1968,"['Walter M. Schirra Jr.', 'Walter Cunningham', 'Donn F. Eisele']"
Apollo 8,1968,"['Frank Borman', 'James A. Lovell Jr.', 'William A. Anders']"
Apollo 9,1969,"['James A. McDivitt', 'David R. Scott', 'Russell L. Schweickart']"
Apollo-Soyuz (Apollo-Soyuz Test Project),1975,"['Thomas P. Stafford', 'Vance D. Brand', 'Donald K. Slayton']"
Apollo-Soyuz Test Project,1975,[nan]
Beresheet,2019,[nan]
Bion 1 (Kosmos 605),1973,[nan]
Bion 10 (Kosmos 2229),1992,[nan]
Bion 11,1996,[nan]
Bion 2 (Kosmos 690),1974,[nan]
Bion 3 (Kosmos 782),1975,[nan]
Bion 4 (Kosmos 936),1977,[nan]
Bion 5 (Kosmos 1129),1979,[nan]
Bion 6 (Kosmos 1514),1983,[nan]
Bion 7 (Kosmos 1667),1985,[nan]
Bion 8 (Kosmos 1887),1987,[nan]
Bion 9 (Kosmos 2044),1989,[nan]
Bion-M No. 1,2013,[nan]
Biosatellite 3,1969,[nan]
Chandrayaan-2,2019,[nan]
Chang'e 3,2013,[nan]
Chang'e 4,2018,[nan]
Cygnus CRS Orb-1,2014,[nan]
Delta II 7925 D240,1996,[nan]
Delta II 7925-9.5,2003,[nan]
Delta II 7925H-9.5,2003,[nan]
Falcon Heavy FH-001,2018,[nan]
Flight 15P (SpaceShipOne),2004,['Michael W. Melvill']
Flight 16P (SpaceShipOne),2004,['Michael W. Melvill']
Flight 17P (SpaceShipOne),2004,['William B. Binnie']
Flight 77 (X-15),1963,['Joseph A. Walker']
Flight 90 (X-15),1963,['Joseph A. Walker']
Flight 91 (X-15),1963,['Joseph A. Walker']
Fobos-Grunt,2011,[nan]
Foton-M No. 4,2014,[nan]
Foton-M3,2007,[nan]
Gemini 10,1966,"['John W. Young', 'Michael Collins']"
Gemini 11,1966,"['Charles Conrad Jr.', 'Richard F. Gordon Jr.']"
Gemini 12,1966,"['James A. Lovell Jr.', 'Buzz Aldrin']"
Gemini 3,1965,"['Virgil I. Grissom', 'John W. Young']"
Gemini 4,1965,"['James A. McDivitt', 'Edward H. White II']"
Gemini 5,1965,"['L. Gordon Cooper Jr.', 'Charles Conrad Jr.']"
Gemini 6A,1965,"['Walter M. Schirra Jr.', 'Thomas P. Stafford']"
Gemini 7,1965,"['Frank Borman', 'James A. Lovell Jr.']"
Gemini 8,1966,"['Neil A. Armstrong', 'David R. Scott']"
Gemini 9A,1966,"['Thomas P. Stafford', 'Eugene A. Cernan']"
Genesis I,2006,[nan]
Genesis II,2007,[nan]
Hayabusa,2003,[nan]
Hayabusa2 MIVERVA-II,2014,[nan]
ISS Hand Launch,2006,[nan]
Inspiration4,2021,"['Jared Isaacman', 'Dr. Sian Proctor', 'Hayley Arceneaux', 'Christopher Sembroski']"
Kavoshgar-3,2010,[nan]
Kavoshgar-8,2013,[nan]
Korabl-Sputnik 4 (Sputnik 9),1961,[nan]
Korabl-Sputnik 5 (Sputnik 10),1961,[nan]
Kosmos 110,1966,[nan]
Kosmos-368,1970,[nan]
Kounotori 3 (HTV-3),2012,[nan]
Kounotori 4 (HTV-4),2013,[nan]
Luna 17,1970,[nan]
Luna 21,1973,[nan]
Lunar Atmosphere and Dust Environment Explorer Mission,2013,[nan]
MA-5 Mercury SC9  ,1961,[nan]
Mars 2020,2020,[nan]
Mercury 5  Redstone,1961,[nan]
